count	specialization	example_business_names	example_top_items
12	auto glass repair and replacement	AJ Windshield Repair | Cruz Auto Glass | Mosaic Auto Glass | Scissortail Auto Glass | Wilson And Tucker Auto Glass	Windshield Replacement | Toyota Corolla New Windshield | Dodge RAM 2021 | Cascadia Windshield | Volvo #30
12	Dog walking and pet sitting services	Biscuit Tin Adventures | Caring Cats & Canines | Kelly K9 | Megan Walks | Tails Blazing Trails	Single Walk | Double walk | Dog walks | Pet sitting | Haircut
12	Moving services	City Crown Transport Pty Ltd | Move-On | Moving Moore Careful | The Movers Moving LLC | Vallejo’s Moving	3.5 hour move +truck fee | Truck fee | hourly move | Insurance | Deposit + taxes
12	vehicle towing and roadside assistance	C&G Dynasty Tow | Most Wanted Towing Inc | Resilience Automotive Inc | Rite-Way Towing | prime towing	Accident clean up | Storage | admin fee | documentation and dispatch fee | Gate fee
11	auto body repair and collision repair	Bobs Mobile Auto Body | Mauricios Collision Repair | Otb Collision | Precision collision & customs | The Valley Auto Body	Paint | Door+ bumper | Door fix | Gmc slt 2500 | 2018 Toyota Corolla  Le
11	Party rental equipment and event setup	Dorado Party Rentals | Ike’s Party Rentals | NC- Party Rentals Of Rockford | Victoria Bakery Party Rental	Chairs | Tables | Delivery | Lights | Sillas
10	auto detailing and car cleaning	Grand Detail | Refine Detailing | Shadow Works Detailing | Tommy’s Detailing LLC | Urban Coast Detail LLC	Clean courtesy cars | KJ07 DXR | MT22 DTX 10/7/25 | HK19 OHC- 7/6/25 | Renault Clio black
10	auto detailing and ceramic coating	Armstrong Detail And Ceramics | BpcAutospa | Double Take Detailing | Hayman’s Polish n Shine | Prestige Detailing	Honda Hatch | xpander cross 2025 | Esi Honda Civic 1995-96 | Adv 160 | Jetour 2 unit / PPF
10	Drywall installation and repair	DJ’s Drywall LLC | L&S Drywall LLC | Morales Drywall | Most Quality Drywall | Rosales Drywall Corp	3116 N Wilson Ct NW, Walker, MI 49534 | 875 E 24th St Holland, MI  49423 | 1601 E Main St Kalamazoo, MI  49048 | 15955 South Aircraft Road, Battle Creek, MI 49015 | 128 E Frank St Kalamazoo, MI  49007 United States
10	Event planning and decoration	Divine Events By Adri | Its Happening Events LLc | Luxe Creation | Mels Dream Events | Star Studded Events By Sahar	Catering | Concessions stands cotton, candy machine,popcorn machine | 360 photo platform for 2hours | Customize backdrop with photo an matching drapes  balloon garland tables Linens  chair covers center pieces table setting  with charger plates balloon colums | Pop corn machine
10	Window and door installation and repair	Elevate Line LLC | RBM Windows And Door | Spotless Aluminum And Glass  | The Home & Hardware Hub | Warrior Windows & Doors	Windows | Sliding doors | New windows | Pivot door | 1800x2100 side window
9	auto detailing and car care	His N Hers Detailing LLC | Integrity Auto Detail | Legal Hustle Auto Spa LLC | Precision Detailing | TLC Detailing	Headlight restoration | Carpet shampoo | Upholstery shampoo | Polish Hood(major panel) | Heated Upholstery shampoo
9	Drywall installation and finishing	Bbc Drywall Llc | JOSS DRYWALL LLC | Juan Morales Drywall | MZ’S DRYWALL | Melivan Drywall Solution LTD	DRYWALL FINISHING | DRYWALL INSTALLATION | DRIWALL INSTALATION | COST OF MATERIALS | MATERIAL'S LIST
9	event decoration and balloon art	Babateeballoondeco | Balloon Creation By Jewel | Balloons and Beyond By Jazzy | Fierros Events | N&E Dream's Balloons And more	Delivery | NOLA Delivery only | Balloon weight | Marquee Number | Delivery / Setup / Pick up
9	Gutter installation and repair	B&B GUTTERS LLC | Jys Construction | NCO Gutters | Pitch Perfect Seamless Gutters | Stout seamless gutters	Install Gutter | Endcaps $1/Each | Install Downspout | Install Gutter 5” | Gutter Screen
8	auto body repair and paint	Arc Autobody and Paint Lls | Delta Auto Paint | New Age Auto Body Inc | Newroadkustom 	Body work and paint | Rear Bumper | Rear Quarter Panel | Rear Passenger Door | Gas
8	countertop fabrication and installation	D’Amico Stone Design LLC | Jano’s Countertops Llc | Perfect Stone | Platinum Stones LLC	Quartz unit 1905 | Quartz unit 1110 | Quartz unit 910 | Quartz unit 508 | Quartz unit 2101
8	event decoration and planning	Deezyne By Lara | Eventos Estrella | Kaylas Krafts | ML Events and Decor | Soulful Events And Decor	50th Birthday Celebration | House Warming | 2025 Graduation Focal Point | Prom 2025 | Prom send off
8	event decoration and rental services	A&S Home, Party & Rentals | Jen’s PartyVibes | Luna Party Decor And More | Pop Party and Play | Poshed by Viv	Delivery/Pickup | Delivery/Pickup Fee | Toddler Soft Play | Poshed Package A | RENTAL | Delivery
8	metal fabrication and welding	Precsion Fabrications | Rick’s Stainless Systems | Stiggler Fabrication | The Metal Dr. Inc	Material | Job # 001 | Powder Coating | 1/7/26 | Travel
7	auto detailing and vehicle cleaning	Coldwater Car Care | Detailersbythesea | GDETAILING | KJH Automotive Detailing ABN 48844844027 | O.C.Detail	Ford transit | E350 | Dodge caravan | Chevrolet 4500 | Transit VMX6111
7	Catering and event food services	C.L.’s Smoking Barrels BBQ | CASA LUZ CATERING LLC. | Di Chef Bartolomeo | Doña Lily’s Mini Pancakes | Taqueria Arandas	AGUAS FRESCAS CHOICE of THREE | Plates•Forks•Spoons•Forks •Napkins | AGUAS FRESCAS | Plates•Forks•Spoons•Napkins •Cups | 2-3Hrs Catering Service • Food Table Setup Decor
7	Catering and event services	Chef Annes 5 Star Catering Services | Coastal Catering Ca | Justriz Catering Services | Smookies LLC | Un Poco Loco Snack Bar	Full service | Tasting | Full service catering for 150 guest | Delivery fee | Catering for 120 guest (DROP OFF & SET UP)
7	Glass installation and repair	ACE GLASS WORKS | FB QUALITY GLASS INC | Infinity Glass | LARASGLASS CORP | Master Pro Glass & Mirror LLC	LABOR | HARDWARE | SHOWER GLASS | GLASS | LABOR (PER WINDOW)
7	transportation and logistics	Gulf Coast To Coast Transport LLC | HAZLAN WANNA TRANSPORT(TR0189940-T) | Rocky Mtn Transportation | Sweet Shipping | Tango Transporter Llc.	19/06/2025 | 22/06/2025 | AJK 5752 | 18/06/2025 | 23/06/2025
6	auto repair and diagnostics	Burlington County Customs LLC | Custom Repairs Restoration | Prairie Grove Automotive | Tamimi automotive | Tino’s Porsches	Labor | Parts | Diagnostic | Battery | Fuel pump
6	Event planning and coordination	Chelsea in Charge | Eventi LLC | Events By Funmi O | Events and Beyond | Monimelia Events	Coordinación | Decoración | Personajes | Coordinación Completa Evento | Musica & Luces
6	Moving and delivery services	A&T SUPERIOR MOVERS | ASAP COURIER & DELIVERY llc | KTD Logistics | Qba Multiservices Inc | Turbo Moving LLC.	Delivery services | Delivery /Moving Services | Moving services | Moving | Delivery
6	Moving and junk removal services	Apollos Moving | Dash Movers Indy | FRANK  THE TANK MOVING SERVICES | Mythical Moving | NextHome Moving LLC	2 movers w truck | 2 movers | Truck fee | Truck charge | 3 movers w truck
6	towing services	Next Mile Towing | Rental Boys T/a Supreme Towing Company | V SIX TOWING SERVICES | Velic Towing LLC	Towing service | Towing | Clean up | Storage | Tow
6	Towing services	Active Towing | Assist Towing LLC  | JLP TOWING LLC | Quiros Fast Towing Services LLC  | Uplift Tow Me	Tow request | Tow service | Towing request ( reposition ) request by the owner of the vehicle | Tow service request | On hook
6	vehicle rental and transportation services	Divberry | ETGO SERVICES SDN BHD (Registration No: 201901040954) (1350284-P) | PT. TARA INDO PRATAMA | Putra Bali Trans | SWIFTDASH LOGISTICS	RENTAL HONDA CITY 2024 | Toyota Alphard & Toyota Vellfire | With a driver+ petrol + parking + rod tax+ others | Honda city 2024 | Honda city rental
6	welding and fabrication	DENOVAN WELDING INC. | DonArc Welding & Fabrication Corp. | Jonas Welding And Fabrication  | MB Welding & Fab LLC | Red River Welding & Fabrication	Labor | Trim | R panel | Purlin | 2x6 tubing
5	auto body repair	Acevedo Auto Body Shop | IMPACTT - Precision Auto Clinic | JSD Auto | Miguel Auto Body | Sunshine auto body shop llc	Hood repaired and repainted , front bumper repainted, front end alined and painted to match the color | Toyota corolla 2020 | Front end repair and front end alinement | Car Rental Agreement | Auto Body Work - PDC 4810
5	auto detailing and car wash services	AutoLab | B.Precisiondetailing | Elkady Detailing LLC | Exotic Auto Detail LLC | Reflection Detailing LLC	Mobile Fee | Interior Only Plus | Gold Package | Premium Plus | Premium Plus Package
5	auto detailing and vehicle coating	826 Detailing Services | Afterimage Coatings LLC | Finesse Auto Detailing | Mike Speed Detailing | Zachs Master Detailing	Passenger van | 2024 Chevy Silverado 3500 | 2024 Chevy Silverado 2500 | Full Interior Detail & Wash | 2024 Ford Bronco
5	auto repair and tire services	BryMobile Tires | Highway ⭐️ | Tire Umpire | USA Tires & Wheels	235/65/16 | Tire Change | Grippy T11/22.5 | NS60 | Labour
5	Car audio installation and customization	2 Turnt Customs | Camacho Car Audio | D&B Custom Audio LLC | Dtp Customs | MobileDynamics	Labour | Rockford Wiring | Rockford Fosgate 6.75 | Rockford 300w 4ch Prime | Custom enclosure M
5	drywall installation and finishing	CLRDRYWALL.LLC | Cgrdrywall | Diamond Drywall Corp | MTZ Drywall | Perez Drywall LLC	Labor | Materials | Material | LABOR | Labor and materials
5	Event balloon decoration and setup	Brooke’s Balloons | Desert Arches Balloons | Kinsfather Kreations | Paris Davis | Yadi Balloon Creations	Weekly Payroll | 2 SWEET THEME 10/14/23 | Pink Cow Print Theme | Full Balloon Arch | #1 Marquee number
5	event catering and food delivery	Crissy’s Sweets And More | My-Le | Restoran Nasi Kambing Hangus | Sheesh Eatery & Lounge | Unmixed Kitchen  Culinary Concept	Menu | Gratuity | Food Menu | Papdi Chaat | Delivery
5	Event equipment rental and event setup	Dre Event Rentals | Forever Memorable Events | Kntl Events | RMDPROJECT | Zhakhnaya PTY	Delivery | Tents 10x10 | Photo Booth | Damage deposit | Cocktail Tables with Spandex Covers
5	event videography and photography	AlinkZ | DPHAMTV | Eltaf_films12 | GhaziiVission | RaysVzn	Practice/Scrimmage Photos | 7on7 Association Mix | Travel Reimbursement | Off Site Video Editing | On Site Videography Shooting
5	Gutter installation and maintenance	Diaz Gutters LLC | Fenix Gutters | THE GUTTER MAN,LLC. | Utica Gutters LLC | Valley Rain Gutters	Yankee gutter removal/ gutter install | 45 ft 6” Gutter + 3x4” high-flow downspout | 86ft 6in gutter+ 3 high flow downspouts | 235ft Fascia wrap/ board + Soffit (entire home) | 311ft Alurex continuous hanger leaf protection
5	Moving and logistics services	ASAP MOVERS 365 | Holler And Crew | Joe’s moving & Logistics | Maridway Logistics | Packnmove	2 Crew Move | Mileage | (2) Mover Crew- (2) hour Min | Additional hours | Truck
5	Party equipment rental and event setup	Alvarez Party Rentals | Al’s Party Rentals | Paradise Party Rentals | Party4less Llc | Right 2 You Party Rentals	Delivery | Black chairs | 8 foot table | 6ft table | Delivery/Setup
5	property management and maintenance	A.D.S Properties CC  | All County First Property Management | EAB Rental | Rex Estates Management LTD | Stoic Property And Investments  Llc	Management Fees | Trips to home | Utility | ELECTRICITY BILL | Eviction
5	towing and recovery services	PCS TOWING & RECOVERY | SBV Towing & Recovery LLC | Swanson Towing Recovery LLC | Tinsley’s Towing | Yaphank Towing and Recovery Inc	Jeep Repo Admin | Jeep Repo Storage | RV Tow | GMC Acadia Tow from Fort white to Gerber Collision | Tow Fee
5	towing and vehicle recovery	AMJ TOWING | Alaia’s Towing & Recovery LLC | Andrea J. Towing | DOWNTOWN Towing & Recovery | ER Wrecker	Tow | Storage | Admin | Labor | Clean up
5	transportation and logistics services	AD Transportation | Fisherman Transport  | Jayla Transport Inc | MAXI COMBI | QLS                                                                                                             8  871 1227 DV 77	07/12/2025 - SC MARATHON 2025 STATION DEPLOYMENT ZONE | 06/06/2026 : DISPOSAL @ 1200HRS TO 1800HRS (6HRS) | 05/12/2025 - 1 WAY TRANSFER @ 17:15HRS to 17:45HRS | 04/04/2026 : DISPOSAL @ 1100HRS TO 2000HRS (9HRS) | 23/12/2025 - ARRIVAL TRANSFER (FLIGHT: SQ25 , ETA 06:30HRS)
5	transportation/logistics	338 Pilot Car LLC | J Roop Trans Inc | MJS Logistics | Rocking E Livestock, LLC | Triple 4’s Highway Assistance	Overnights | Nogo | FL-FL | NJ-NC | VA-FL
5	vehicle towing and recovery	Bullocks Wrecker LLC | Edmonton Central Towing & Recovery  | Jimmys Towing & Collison | Majestic Towing And Recovery | Triple 2 Towing & Recovery	Clean up | Preservation | Pull out | Admin | Extra equipment
5	vehicle towing and transport	Campver Towing inc | Donaldson Towing Llc. | Elenas Towing And Transport LLC | J & O Towing Services LLC | JG TOWING SERVICE	Towing services | Buy car | moving house | Junk car | Truck sell
5	welding and metal fabrication	Bros Welding | Cactus Welding Ent. | FZ WELDING ENTERPRISE | GrabsFabs | Turbo Time Welding	Welding | Sub | Material | Material pickup’s | Travel
